sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 11, 2024 01:01:23

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
    +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_d66cb55aca88488c9873fdc922a75a1e(WIDTH=15)	       0(0)	       0(0)	       0(0)	     14(14)	     0(0)	     0(0)	     0(0)	
    +genblk7.wr2rd_addr_sync:efx_fifo_datasync_d66cb55aca88488c9873fdc922a75a1e(STAGE=2,WIDTH=15)	       0(0)	     15(15)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=15)	       0(0)	       0(0)	       0(0)	      14(1)	     0(0)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=14)	       0(0)	       0(0)	       0(0)	      13(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=13)	       0(0)	       0(0)	       0(0)	      12(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=12)	       0(0)	       0(0)	       0(0)	      11(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u2_asyn_fifo_4kx8:asyn_fifo_4kx8                          	     111(0)	      30(0)	      45(0)	      99(0)	     0(0)	    16(0)	     0(0)	
  +u_efx_fifo_top:efx_fifo_top_d66cb55aca88488c9873fdc922a75a1e_renamed_due_excessive_length_73	     111(4)	      30(0)	      45(0)	      99(0)	     0(0)	    16(0)	     0(0)	
   +xefx_fifo_ram:efx_fifo_ram_d66cb55aca88488c9873fdc922a75a1e(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=16384,RD_DEPTH=16384,WADDR_WIDTH=14,RADDR_WIDTH=14,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       8(8)	     0(0)	   16(16)	     0(0)	
   +xefx_fifo_ctl:efx_fifo_ctl_d66cb55aca88488c9873fdc922a75a1e_renamed_due_excessive_length_74	   107(107)	      30(0)	     45(45)	     91(35)	     0(0)	     0(0)	     0(0)	
    +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_d66cb55aca88488c9873fdc922a75a1e(WIDTH=15)	       0(0)	       0(0)	       0(0)	     14(14)	     0(0)	     0(0)	     0(0)	
    +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_d66cb55aca88488c9873fdc922a75a1e(STAGE=2,WIDTH=15)	       0(0)	     15(15)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=15)	       0(0)	       0(0)	       0(0)	      14(1)	     0(0)	     0(0)	     0(0)	
