sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 09, 2024 15:04:42

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
        +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_f8e357ee76084051a56be552e4669b77(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_addr_sync:efx_fifo_datasync_f8e357ee76084051a56be552e4669b77(STAGE=2,WIDTH=7)	       0(0)	       7(7)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_ack:streamfifocc64_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     44(37)	     0(0)	     1(1)	     0(0)	
       +popToPushGray_buffercc:buffercc_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +ac_fifo:streamfifocc64_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     42(37)	     0(0)	     3(3)	     0(0)	
       +popToPushGray_buffercc:buffercc_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +controller_main:ddr_3_controller_f8e357ee76084051a56be552e4669b77	 1146(1146)	   146(146)	   103(103)	   874(868)	     0(0)	     4(0)	     0(0)	
       +map_ram:user_dual_port_ram_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     4(4)	     0(0)	
     +rst_top0:reset_ctrl_f8e357ee76084051a56be552e4669b77(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	       2(0)	       2(0)	       0(0)	       2(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f8e357ee76084051a56be552e4669b77(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f8e357ee76084051a56be552e4669b77(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +phase_u0:phase_shift_f8e357ee76084051a56be552e4669b77 	     10(10)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
 +axi4_awar_mux:AXI4_AWARMux(AID_LEN=4)                     	       6(6)	       0(0)	       0(0)	     40(40)	     0(0)	     0(0)	     0(0)	
